name,link,Maven,Gradle,Travis CI,Github Actions
eugenp/tutorials,https://github.com/eugenp/tutorials,Yes,No,No,No
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,No,No,No,No
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,No,Yes,No,gradle-wrapper-validation.yml;
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,No,Yes,No,Skipped
apache/dubbo,https://github.com/apache/dubbo,Yes,No,Yes,build-and-test-3.yml;
macrozheng/mall,https://github.com/macrozheng/mall,Yes,No,No,No
elastic/elasticsearch,https://github.com/elastic/elasticsearch,No,Yes,No,Skipped
jenkins-docs/simple-java-maven-app,https://github.com/jenkins-docs/simple-java-maven-app,Yes,No,No,No
doocs/advanced-java,https://github.com/doocs/advanced-java,No,No,No,Skipped
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,Yes,No,No,Skipped
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,No,No,No,No
ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,Yes,No,No,No
jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,No,No,No,No
mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,Yes,No,No,Skipped
apache/kafka,https://github.com/apache/kafka,No,Yes,No,No
apache/flink,https://github.com/apache/flink,Yes,No,No,docs.yml;
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,No,Yes,No,android.yml;
google/guava,https://github.com/google/guava,Yes,No,No,ci.yml;
lenve/vhr,https://github.com/lenve/vhr,No,No,No,No
apolloconfig/apollo,https://github.com/apolloconfig/apollo,Yes,No,No,Skipped
apache/rocketmq,https://github.com/apache/rocketmq,Yes,No,Yes,Skipped
xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,Yes,No,No,maven.yml;
xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,Yes,No,Yes,maven.yml;
chanjarster/weixin-java-tools,https://github.com/chanjarster/weixin-java-tools,Yes,No,Yes,No
jleetutorial/maven-project,https://github.com/jleetutorial/maven-project,Yes,No,No,No
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,No,Yes,No,No
alibaba/druid,https://github.com/alibaba/druid,Yes,No,Yes,ci.yaml;
forezp/SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,No,No,No,No
udacity/ud839_Miwok,https://github.com/udacity/ud839_Miwok,No,Yes,No,manual.yml;
macrozheng/mall-learning,https://github.com/macrozheng/mall-learning,Yes,No,No,No
macrozheng/mall,https://github.com/macrozheng/mall,Yes,No,No,No
jenkins-docs/simple-java-maven-app,https://github.com/jenkins-docs/simple-java-maven-app,Yes,No,No,No
netty/netty,https://github.com/netty/netty,Yes,No,No,Skipped
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,No,No,No,No
ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,Yes,No,No,No
yankils/hello-world,https://github.com/yankils/hello-world,Yes,No,No,No
lenve/vhr,https://github.com/lenve/vhr,No,No,No,No
jleetutorial/maven-project,https://github.com/jleetutorial/maven-project,Yes,No,No,No
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,No,Yes,No,No
macrozheng/mall-learning,https://github.com/macrozheng/mall-learning,Yes,No,No,No
shuzheng/zheng,https://github.com/shuzheng/zheng,Yes,No,Yes,No
firebase/quickstart-android,https://github.com/firebase/quickstart-android,No,Yes,No,android.yml;
wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,No,No,No,No
crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,Yes,No,Yes,No
alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,Yes,No,No,No
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,No,No,Yes,Skipped
JeffLi1993/springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,Yes,No,No,No
alibaba/Sentinel,https://github.com/alibaba/Sentinel,Yes,No,No,ci.yml;
DrKLO/Telegram,https://github.com/DrKLO/Telegram,No,Yes,No,No
elunez/eladmin,https://github.com/elunez/eladmin,Yes,No,No,No
dromara/hutool,https://github.com/dromara/hutool,Yes,No,Yes,No
alibaba/arthas,https://github.com/alibaba/arthas,Yes,No,No,Skipped
libgdx/libgdx,https://github.com/libgdx/libgdx,No,Yes,No,Skipped
nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,No,Yes,Yes,gradle-wrapper-validation.yml;
aosp-mirror/platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base,No,No,No,No
geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,No,No,No,No
taylor-training/time-tracker,https://github.com/taylor-training/time-tracker,Yes,No,No,No
bumptech/glide,https://github.com/bumptech/glide,No,Yes,No,Skipped
signalapp/Signal-Android,https://github.com/signalapp/Signal-Android,No,Yes,No,Skipped
jfeinstein10/SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,Yes,No,No,No
bazelbuild/bazel,https://github.com/bazelbuild/bazel,No,No,No,release-helper.yml;
hmkcode/Android,https://github.com/hmkcode/Android,No,No,No,No
lhazlewood/apache-shiro-tutorial-webapp,https://github.com/lhazlewood/apache-shiro-tutorial-webapp,Yes,No,Yes,No
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard,Yes,No,No,Skipped
ValaxyTech/hello-world,https://github.com/ValaxyTech/hello-world,Yes,No,No,No
ftctechnh/ftc_app,https://github.com/ftctechnh/ftc_app,No,Yes,No,No
hibernate/hibernate-orm,https://github.com/hibernate/hibernate-orm,No,Yes,No,contributor-build.yml;
medcl/elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik,Yes,No,Yes,No
pentaho/pentaho-kettle,https://github.com/pentaho/pentaho-kettle,Yes,No,No,No
springside/springside4,https://github.com/springside/springside4,Yes,No,Yes,No
SERG-Delft/mooc-software-testing,https://github.com/SERG-Delft/mooc-software-testing,Yes,No,No,maven.yml;
googlemaps/android-samples,https://github.com/googlemaps/android-samples,No,No,No,Skipped
openzipkin/zipkin,https://github.com/openzipkin/zipkin,Yes,No,No,Skipped
dyc87112/SpringCloud-Learning,https://github.com/dyc87112/SpringCloud-Learning,No,No,No,No
in28minutes/spring-boot-examples,https://github.com/in28minutes/spring-boot-examples,No,No,No,No
didi/DoKit,https://github.com/didi/DoKit,No,No,No,No
edureka-git/DevOpsClassCodes,https://github.com/edureka-git/DevOpsClassCodes,Yes,No,No,No
daodaovps/xUtils,https://github.com/daodaovps/xUtils,No,No,No,No
liyifeng1994/ssm,https://github.com/liyifeng1994/ssm,Yes,No,No,No
changmingxie/tcc-transaction,https://github.com/changmingxie/tcc-transaction,Yes,No,No,No
liaohuqiu/android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,Yes,Yes,Yes,No
Trinea/android-common,https://github.com/Trinea/android-common,Yes,No,No,No
android/views-widgets-samples,https://github.com/android/views-widgets-samples,No,No,No,copy-branch.yml;
skeeto/sample-java-project,https://github.com/skeeto/sample-java-project,Yes,No,No,No
roncoo/roncoo-pay,https://github.com/roncoo/roncoo-pay,Yes,No,No,No
databricks/learning-spark,https://github.com/databricks/learning-spark,Yes,No,Yes,No
in28minutes/spring-microservices,https://github.com/in28minutes/spring-microservices,No,No,No,No
justauth/JustAuth,https://github.com/justauth/JustAuth,Yes,No,Yes,Skipped
H07000223/FlycoTabLayout,https://github.com/H07000223/FlycoTabLayout,No,Yes,No,No
janishar/mit-deep-learning-book-pdf,https://github.com/janishar/mit-deep-learning-book-pdf,No,No,No,No
CymChad/BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,No,Yes,Yes,No
chrisbanes/Android-PullToRefresh,https://github.com/chrisbanes/Android-PullToRefresh,Yes,No,No,No
YunaiV/SpringBoot-Labs,https://github.com/YunaiV/SpringBoot-Labs,Yes,No,No,No
JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,No,Yes,Yes,gradle-wrapper-validation.yml;
dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,Yes,No,No,No
udacity/ud851-Sunshine,https://github.com/udacity/ud851-Sunshine,No,No,No,No
prestodb/presto,https://github.com/prestodb/presto,Yes,No,No,Skipped
udacity/Sunshine-Version-2,https://github.com/udacity/Sunshine-Version-2,No,Yes,No,No
keycloak/keycloak,https://github.com/keycloak/keycloak,Yes,No,No,Skipped
apache/camel,https://github.com/apache/camel,Yes,No,No,Skipped
javahometech/my-app,https://github.com/javahometech/my-app,Yes,No,No,maven.yml;
kunal-kushwaha/DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,No,No,No,No
runelite/runelite,https://github.com/runelite/runelite,Yes,No,No,CI.yml;
paascloud/paascloud-master,https://github.com/paascloud/paascloud-master,Yes,No,No,No
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,No,Yes,No,No
android-async-http/android-async-http,https://github.com/android-async-http/android-async-http,No,Yes,Yes,gradle-wrapper-validation.yml;
apache/tomcat,https://github.com/apache/tomcat,No,No,Yes,ci.yml;
careercup/CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition,No,No,No,No
code4craft/webmagic,https://github.com/code4craft/webmagic,Yes,No,Yes,No
apache/hive,https://github.com/apache/hive,Yes,No,No,Skipped
google/gson,https://github.com/google/gson,Yes,No,No,Skipped
macrozheng/mall-swarm,https://github.com/macrozheng/mall-swarm,Yes,No,No,No
purplecabbage/phonegap-plugins,https://github.com/purplecabbage/phonegap-plugins,No,No,No,No
hyb1996/Auto.js,https://github.com/hyb1996/Auto.js,No,Yes,No,android.yml;
Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,No,Yes,No,No
CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,No,Yes,No,Skipped
winterbe/java8-tutorial,https://github.com/winterbe/java8-tutorial,No,No,No,No
awsdocs/aws-doc-sdk-examples,https://github.com/awsdocs/aws-doc-sdk-examples,No,No,No,Skipped
seaswalker/spring-analysis,https://github.com/seaswalker/spring-analysis,Yes,No,No,No
spring-attic/spring-mvc-showcase,https://github.com/spring-attic/spring-mvc-showcase,Yes,No,No,No
pinpoint-apm/pinpoint,https://github.com/pinpoint-apm/pinpoint,Yes,No,No,Skipped
Netflix/eureka,https://github.com/Netflix/eureka,No,Yes,No,Skipped
pockethub/PocketHub,https://github.com/pockethub/PocketHub,No,Yes,Yes,No
apache/beam,https://github.com/apache/beam,No,No,No,Skipped
zhoutaoo/SpringCloud,https://github.com/zhoutaoo/SpringCloud,Yes,No,Yes,maven.yml;
williamfiset/Algorithms,https://github.com/williamfiset/Algorithms,No,Yes,No,Skipped
rabbitmq/rabbitmq-tutorials,https://github.com/rabbitmq/rabbitmq-tutorials,No,No,Yes,No
zhisheng17/flink-learning,https://github.com/zhisheng17/flink-learning,Yes,No,No,No
hmkcode/Android,https://github.com/hmkcode/Android,No,No,No,No
lhazlewood/apache-shiro-tutorial-webapp,https://github.com/lhazlewood/apache-shiro-tutorial-webapp,Yes,No,Yes,No
ValaxyTech/hello-world,https://github.com/ValaxyTech/hello-world,Yes,No,No,No
grpc/grpc-java,https://github.com/grpc/grpc-java,No,Yes,No,Skipped
Bigkoo/Android-PickerView,https://github.com/Bigkoo/Android-PickerView,No,Yes,No,No
android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,No,Yes,Yes,No
Tencent/tinker,https://github.com/Tencent/tinker,No,Yes,No,No
apache/druid,https://github.com/apache/druid,Yes,No,Yes,No
react-native-camera/react-native-camera,https://github.com/react-native-camera/react-native-camera,No,No,No,No
ftctechnh/ftc_app,https://github.com/ftctechnh/ftc_app,No,Yes,No,No
junit-team/junit4,https://github.com/junit-team/junit4,Yes,No,No,main.yml;
spring-projects/spring-data-examples,https://github.com/spring-projects/spring-data-examples,Yes,No,Yes,project.yml;
apache/cassandra,https://github.com/apache/cassandra,No,No,No,No
hdodenhof/CircleImageView,https://github.com/hdodenhof/CircleImageView,No,Yes,No,No
apache/dolphinscheduler,https://github.com/apache/dolphinscheduler,Yes,No,No,Skipped
ityouknow/spring-cloud-examples,https://github.com/ityouknow/spring-cloud-examples,No,No,No,No
pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper,Yes,No,No,Skipped
apache/hbase,https://github.com/apache/hbase,Yes,No,No,No
Grasscutters/Grasscutter,https://github.com/Grasscutters/Grasscutter,No,Yes,No,build.yml;
apache/rocketmq-externals,https://github.com/apache/rocketmq-externals,No,No,Yes,No
spring-guides/gs-spring-boot,https://github.com/spring-guides/gs-spring-boot,No,No,No,No
SERG-Delft/mooc-software-testing,https://github.com/SERG-Delft/mooc-software-testing,Yes,No,No,maven.yml;
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,No,Yes,No,Skipped
pluralsight-projects/Android-CandyCodedApplication,https://github.com/pluralsight-projects/Android-CandyCodedApplication,No,Yes,No,No
guolindev/booksource,https://github.com/guolindev/booksource,No,No,No,No
motianhuo/wechat,https://github.com/motianhuo/wechat,No,No,No,No
febsteam/FEBS-Shiro,https://github.com/febsteam/FEBS-Shiro,Yes,No,No,No
kiegroup/drools,https://github.com/kiegroup/drools,Yes,No,No,Skipped
apache/maven,https://github.com/apache/maven,Yes,No,No,Skipped
cats-oss/android-gpuimage,https://github.com/cats-oss/android-gpuimage,No,Yes,No,No
apache/shiro,https://github.com/apache/shiro,Yes,No,No,maven.yml;
YunaiV/yudao-cloud,https://github.com/YunaiV/yudao-cloud,Yes,No,No,No
java8/Java8InAction,https://github.com/java8/Java8InAction,Yes,No,No,No
naman14/Timber,https://github.com/naman14/Timber,No,Yes,Yes,No
lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader,No,Yes,Yes,No
tuguangquan/mybatis,https://github.com/tuguangquan/mybatis,Yes,No,Yes,No
yixia/VitamioBundle,https://github.com/yixia/VitamioBundle,No,Yes,No,No
swagger-api/swagger-core,https://github.com/swagger-api/swagger-core,Yes,No,No,Skipped
stacksimplify/aws-eks-kubernetes-masterclass,https://github.com/stacksimplify/aws-eks-kubernetes-masterclass,No,No,No,No
LaunchCodeEducation/techjobs-console-java,https://github.com/LaunchCodeEducation/techjobs-console-java,No,No,No,No
traccar/traccar,https://github.com/traccar/traccar,No,Yes,No,gradle.yml;
googlesamples/mlkit,https://github.com/googlesamples/mlkit,No,No,No,No
Yalantis/uCrop,https://github.com/Yalantis/uCrop,No,Yes,No,No
drtshock/Potato,https://github.com/drtshock/Potato,Yes,No,No,No
spring-guides/gs-rest-service,https://github.com/spring-guides/gs-rest-service,No,No,No,No
zhihu/Matisse,https://github.com/zhihu/Matisse,No,Yes,Yes,No
Wizcorp/phonegap-facebook-plugin,https://github.com/Wizcorp/phonegap-facebook-plugin,No,No,No,No
brianfrankcooper/YCSB,https://github.com/brianfrankcooper/YCSB,Yes,No,Yes,No
kekingcn/kkFileView,https://github.com/kekingcn/kkFileView,Yes,No,No,maven.yml;
wyouflf/xUtils3,https://github.com/wyouflf/xUtils3,No,Yes,No,No
doocs/jvm,https://github.com/doocs/jvm,No,No,No,Skipped
pedant/sweet-alert-dialog,https://github.com/pedant/sweet-alert-dialog,No,Yes,No,No
hongyangAndroid/okhttputils,https://github.com/hongyangAndroid/okhttputils,No,Yes,No,No
TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,Yes,Yes,No,Skipped
shopizer-ecommerce/shopizer,https://github.com/shopizer-ecommerce/shopizer,Yes,No,No,No
MinecraftForge/MinecraftForge,https://github.com/MinecraftForge/MinecraftForge,No,Yes,No,support.yml;
spring-cloud/spring-cloud-netflix,https://github.com/spring-cloud/spring-cloud-netflix,Yes,No,No,No
newbee-ltd/newbee-mall,https://github.com/newbee-ltd/newbee-mall,Yes,No,No,No
youth5201314/banner,https://github.com/youth5201314/banner,No,Yes,No,No
NLPchina/ansj_seg,https://github.com/NLPchina/ansj_seg,Yes,No,Yes,No
knightliao/disconf,https://github.com/knightliao/disconf,Yes,No,Yes,No
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,No,Yes,No,Skipped
pluralsight-projects/Android-CandyCodedApplication,https://github.com/pluralsight-projects/Android-CandyCodedApplication,No,Yes,No,No
navasmdc/MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,No,No,No,No
mockito/mockito,https://github.com/mockito/mockito,No,Yes,No,ci.yml;
guolindev/booksource,https://github.com/guolindev/booksource,No,No,No,No
motianhuo/wechat,https://github.com/motianhuo/wechat,No,No,No,No
febsteam/FEBS-Shiro,https://github.com/febsteam/FEBS-Shiro,Yes,No,No,No
kiegroup/drools,https://github.com/kiegroup/drools,Yes,No,No,Skipped
apache/maven,https://github.com/apache/maven,Yes,No,No,Skipped
Netflix/zuul,https://github.com/Netflix/zuul,No,Yes,No,Skipped
apache/shiro,https://github.com/apache/shiro,Yes,No,No,maven.yml;
Curzibn/Luban,https://github.com/Curzibn/Luban,No,Yes,Yes,No
YunaiV/yudao-cloud,https://github.com/YunaiV/yudao-cloud,Yes,No,No,No
java8/Java8InAction,https://github.com/java8/Java8InAction,Yes,No,No,No
MithunTechnologiesDevOps/spring-boot-mongo-docker,https://github.com/MithunTechnologiesDevOps/spring-boot-mongo-docker,Yes,No,No,No
naman14/Timber,https://github.com/naman14/Timber,No,Yes,Yes,No
hellokoding/hellokoding-courses,https://github.com/hellokoding/hellokoding-courses,No,No,No,No
lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader,No,Yes,Yes,No
tuguangquan/mybatis,https://github.com/tuguangquan/mybatis,Yes,No,Yes,No
bilibili/DanmakuFlameMaster,https://github.com/bilibili/DanmakuFlameMaster,No,Yes,Yes,No
yixia/VitamioBundle,https://github.com/yixia/VitamioBundle,No,Yes,No,No
jfinal/jfinal,https://github.com/jfinal/jfinal,Yes,No,No,No
TommyLemon/Android-ZBLibrary,https://github.com/TommyLemon/Android-ZBLibrary,No,Yes,No,gradle.yml;
mik3y/usb-serial-for-android,https://github.com/mik3y/usb-serial-for-android,No,Yes,No,build.yml;
wildfly/quickstart,https://github.com/wildfly/quickstart,Yes,No,No,ci.yml;
hmkcode/Java,https://github.com/hmkcode/Java,No,No,No,No
LaunchCodeEducation/java-exercises,https://github.com/LaunchCodeEducation/java-exercises,No,No,No,No
essentials/Essentials,https://github.com/essentials/Essentials,Yes,No,Yes,No
CodingDocs/springboot-guide,https://github.com/CodingDocs/springboot-guide,No,No,No,No
awsdocs/aws-lambda-developer-guide,https://github.com/awsdocs/aws-lambda-developer-guide,No,No,No,No
tbruyelle/RxPermissions,https://github.com/tbruyelle/RxPermissions,No,Yes,Yes,No
robolectric/robolectric,https://github.com/robolectric/robolectric,No,Yes,No,Skipped
MithunTechnologiesDevOps/maven-standalone-application,https://github.com/MithunTechnologiesDevOps/maven-standalone-application,Yes,No,No,No
XRecyclerView/XRecyclerView,https://github.com/XRecyclerView/XRecyclerView,No,Yes,No,No
openaphid/android-flip,https://github.com/openaphid/android-flip,No,No,No,No
in28minutes/spring-master-class,https://github.com/in28minutes/spring-master-class,No,No,No,No
abstrakraft/android_build,https://github.com/abstrakraft/android_build,No,No,No,No
LaunchCodeEducation/java-web-dev-exercises,https://github.com/LaunchCodeEducation/java-web-dev-exercises,No,No,No,No
mercyblitz/geekbang-lessons,https://github.com/mercyblitz/geekbang-lessons,No,No,No,No
springframeworkguru/spring5-di-demo,https://github.com/springframeworkguru/spring5-di-demo,Yes,No,No,No
Exrick/xboot,https://github.com/Exrick/xboot,No,No,No,No
ssssssss-team/spider-flow,https://github.com/ssssssss-team/spider-flow,Yes,No,No,No
stacksimplify/kubernetes-fundamentals,https://github.com/stacksimplify/kubernetes-fundamentals,No,No,No,No
se-edu/addressbook-level2,https://github.com/se-edu/addressbook-level2,No,No,Yes,No
bobeast/PushPlugin-deprecated,https://github.com/bobeast/PushPlugin-deprecated,No,No,No,No
OpenTSDB/opentsdb,https://github.com/OpenTSDB/opentsdb,No,No,No,No
